Model,Architecture,Generation,Block,EtaC,LambdaC,BlockDriftNorm
SmolLM_Trt,sequential,5,21,0.00196875,1015.8730158730159,0.9002679586410522
SmolLM_Trt,sequential,5,22,0.00190625,1049.1803278688524,0.8798366785049438
SmolLM_Trt,sequential,5,23,0.0004609375,4338.983050847458,0.9323354363441467
SmolLM_Trt,sequential,5,24,0.00196875,1015.8730158730159,0.8762415051460266
SmolLM_Trt,sequential,5,25,0.00012890625,15515.151515151514,0.8540633916854858
SmolLM_Trt,sequential,5,26,0.00012890625,15515.151515151514,0.9078856706619263
SmolLM_Trt,sequential,5,27,0.00109375,1828.5714285714284,0.8995583057403564
SmolLM_Trt,sequential,5,28,0.00190625,1049.1803278688524,0.8702334761619568
SmolLM_Trt,sequential,5,29,225.28000000000003,0.008877840909090908,0.7941374182701111
SmolLM_CtrlA,sequential,1,0,6.469726562500001e-06,309132.0754716981,0.880869448184967
SmolLM_CtrlA,sequential,1,1,4.78515625e-05,41795.91836734694,0.7727400064468384
SmolLM_CtrlA,sequential,1,2,0.000515625,3878.7878787878785,0.7859886884689331
SmolLM_CtrlA,sequential,1,3,8.007812499999999e-05,24975.609756097565,0.8748116493225098
SmolLM_CtrlA,sequential,1,4,6.958007812499999e-06,287438.5964912281,0.8821026086807251
SmolLM_CtrlA,sequential,1,5,1.9042968750000003e-05,105025.641025641,1.0953389406204224
SmolLM_CtrlA,sequential,1,6,6.4453125e-05,31030.30303030303,1.152252197265625
SmolLM_CtrlA,sequential,1,7,8.3984375e-05,23813.953488372095,1.2949951887130737
SmolLM_CtrlA,sequential,1,8,0.00011132812499999999,17964.912280701756,1.3471698760986328
SmolLM_CtrlA,sequential,1,9,0.00103125,1939.3939393939393,1.3143237829208374
SmolLM_CtrlA,sequential,1,10,9.033203125000001e-06,221405.40540540538,1.4784835577011108
SmolLM_CtrlA,sequential,1,11,1.5380859375e-05,130031.74603174604,1.8279582262039185
SmolLM_CtrlA,sequential,1,12,0.0002578125,7757.575757575757,1.9663288593292236
SmolLM_CtrlA,sequential,1,13,0.0003515625,5688.888888888889,1.921117901802063
SmolLM_CtrlA,sequential,1,14,0.00109375,1828.5714285714284,1.9258091449737549
SmolLM_CtrlA,sequential,1,15,0.004125,484.8484848484848,1.9439154863357544
SmolLM_CtrlA,sequential,1,16,0.004375,457.1428571428571,1.8736482858657837
SmolLM_CtrlA,sequential,1,17,0.00103125,1939.3939393939393,1.8722606897354126
SmolLM_CtrlA,sequential,1,18,0.000953125,2098.3606557377047,1.9071089029312134
