Model,Gen,Block,Attn_Norm,MLP_Norm,Total_Norm
SmolLM_CtrlA,0,2,182.08812952541004,305.24422854904236,487.3323580744524
SmolLM_CtrlA,0,3,182.1863890939544,307.58651920536926,489.77290829932366
SmolLM_CtrlA,0,4,182.3357726404092,304.6705700424641,487.0063426828733
SmolLM_CtrlA,0,5,176.76588120396,304.523484700893,481.28936590485296
SmolLM_CtrlA,0,6,179.0971688733172,308.69064776184103,487.78781663515826
SmolLM_CtrlA,0,7,170.1795079949588,309.35306424759233,479.53257224255117
SmolLM_CtrlA,0,8,170.07631272001842,311.09931091212655,481.17562363214495
SmolLM_CtrlA,0,9,174.96094081407676,314.15019608958545,489.1111369036622
SmolLM_CtrlA,0,10,181.4944317596703,314.67705729942406,496.17148905909437
SmolLM_CtrlA,0,11,182.96742834172528,313.714032425432,496.68146076715726
SmolLM_CtrlA,0,12,179.58255155294353,312.1504607657179,491.73301231866145
SmolLM_CtrlA,0,13,184.50592213458725,308.9670447889629,493.47296692355013
SmolLM_CtrlA,0,14,173.62181647549366,308.8392488668255,482.4610653423192
SmolLM_CtrlA,0,15,173.1545023655265,310.1468181815267,483.30132054705325
SmolLM_CtrlA,0,16,182.7452687539492,312.7540123893297,495.49928114327895
SmolLM_CtrlA,0,17,170.43043723333832,312.5540390776449,482.98447631098327
SmolLM_CtrlA,0,18,166.54893530600097,308.2368173123954,474.7857526183964
SmolLM_CtrlA,0,19,181.14761655725698,311.46639064271443,492.6140071999714
SmolLM_CtrlA,0,20,175.02197406682967,311.72596952792526,486.74794359475493
SmolLM_CtrlA,0,21,174.18706900848187,313.97504379329257,488.16211280177447
SmolLM_CtrlA,0,22,180.91624780738496,316.14278073759647,497.0590285449814
SmolLM_CtrlA,0,23,196.1878789270393,317.018643477793,513.2065224048323
SmolLM_CtrlA,0,24,185.4319031953678,320.43636629407405,505.86826948944184
SmolLM_CtrlA,0,25,189.29751276718812,321.24330002740913,510.5408127945973
SmolLM_CtrlA,0,26,192.9511138195858,321.0477050319002,513.998818851486
SmolLM_CtrlA,0,27,179.64014049795497,323.042591038705,502.68273153665996
SmolLM_CtrlA,0,28,187.03997147063077,324.44472396118573,511.4846954318165
SmolLM_CtrlA,0,29,186.75458566941452,310.84112513971667,497.5957108091312
SmolLM_CtrlA,1,0,212.4953181570066,306.8501676561787,519.3454858131853
SmolLM_CtrlA,1,1,190.6108396379912,306.96650239684135,497.57734203483255
SmolLM_CtrlA,1,2,182.08833466505686,305.2444812922504,487.3328159573073
SmolLM_CtrlA,1,3,182.18671807829634,307.58682717242624,489.7735452507226
SmolLM_CtrlA,1,4,182.3360665422762,304.67091621534865,487.0069827576249
SmolLM_CtrlA,1,5,176.7663473422879,304.52400100402593,481.29034834631386
SmolLM_CtrlA,1,6,179.09773118175764,308.69118873074433,487.78891991250197
SmolLM_CtrlA,1,7,170.18024251189163,309.35374611336937,479.53398862526103
SmolLM_CtrlA,1,8,170.07722998730975,311.09994186454776,481.1771718518575
SmolLM_CtrlA,1,9,174.96171456207213,314.1508146973361,489.11252925940823
