Experiment,Generation,Model_Path,Perplexity,Diversity,Coherence
SmolLM EWC lambda=50,4,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda50_gen_4,7.5721,0.8923,0.4808
SmolLM EWC lambda=50,5,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda50_gen_5,8.2856,0.7699,0.3666
SmolLM EWC lambda=500,1,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda500_gen_1,5.8578,0.9338,0.2987
SmolLM EWC lambda=500,2,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda500_gen_2,6.245,0.9348,0.2487
SmolLM EWC lambda=500,3,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda500_gen_3,6.7098,0.6165,0.3865
SmolLM EWC lambda=500,4,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda500_gen_4,7.2551,0.8936,0.3745
SmolLM EWC lambda=500,5,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda500_gen_5,7.8222,0.7154,0.4264
SmolLM Frozen Late,1,D:\Thaman\Work\hessian-spectral-analysis\models\frozen_late_gen_1,5.8067,0.9375,0.4526
SmolLM Frozen Late,2,D:\Thaman\Work\hessian-spectral-analysis\models\frozen_late_gen_2,6.0363,0.9194,0.5193
SmolLM Frozen Late,3,D:\Thaman\Work\hessian-spectral-analysis\models\frozen_late_gen_3,6.3174,0.6435,0.4406
SmolLM Frozen Late,4,D:\Thaman\Work\hessian-spectral-analysis\models\frozen_late_gen_4,6.6284,0.8705,0.4289
SmolLM Frozen Late,5,D:\Thaman\Work\hessian-spectral-analysis\models\frozen_late_gen_5,6.9559,0.5968,0.5353
SmolLM Ortho Drift,1,D:\Thaman\Work\hessian-spectral-analysis\models\ortho_drift_gen_1,6.8212,0.9048,0.2975
SmolLM Ortho Drift,2,D:\Thaman\Work\hessian-spectral-analysis\models\ortho_drift_gen_2,7.8425,0.6043,0.4714
SmolLM Ortho Drift,3,D:\Thaman\Work\hessian-spectral-analysis\models\ortho_drift_gen_3,6.6921,0.7664,0.574
SmolLM Ortho Drift,4,D:\Thaman\Work\hessian-spectral-analysis\models\ortho_drift_gen_4,6.9979,0.5403,0.4387
SmolLM Ortho Drift,5,D:\Thaman\Work\hessian-spectral-analysis\models\ortho_drift_gen_5,7.3213,0.5809,0.294
SmolLM Smart Ortho,1,D:\Thaman\Work\hessian-spectral-analysis\models\smart_ortho_gen_1,6.8181,0.985,0.3276
SmolLM Smart Ortho,2,D:\Thaman\Work\hessian-spectral-analysis\models\smart_ortho_gen_2,6.2066,0.9357,0.3718
SmolLM Smart Ortho,3,D:\Thaman\Work\hessian-spectral-analysis\models\smart_ortho_gen_3,6.6714,0.6525,0.346
SmolLM Smart Ortho,4,D:\Thaman\Work\hessian-spectral-analysis\models\smart_ortho_gen_4,7.2283,0.7132,0.5665
SmolLM Smart Ortho,5,D:\Thaman\Work\hessian-spectral-analysis\models\smart_ortho_gen_5,7.8134,0.698,0.4985
SmolLM Treatment,0,HuggingFaceTB/SmolLM2-135M,6.0504,0.9324,0.4146
SmolLM Treatment,1,D:\Thaman\Work\hessian-spectral-analysis\models\treatment_gen_1,5.9128,0.856,0.5317
SmolLM Treatment,2,D:\Thaman\Work\hessian-spectral-analysis\models\treatment_gen_2,6.2917,0.792,0.5439
SmolLM Treatment,3,D:\Thaman\Work\hessian-spectral-analysis\models\treatment_gen_3,6.752,0.7626,0.4439
SmolLM Treatment,4,D:\Thaman\Work\hessian-spectral-analysis\models\treatment_gen_4,7.3005,0.6149,0.5011
SmolLM Treatment,5,D:\Thaman\Work\hessian-spectral-analysis\models\treatment_gen_5,7.8368,0.6809,0.3398
